tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group
2594042	Candidatus Prometheoarchaeum syntrophicum	Candidatus Prometheoarchaeum				Candidatus Lokiarchaeota	Asgard group	Archaea			
1920749	Candidatus Mancarchaeum acidiphilum	Candidatus Mancarchaeum				Candidatus Micrarchaeota	DPANN group	Archaea			
1291540	Candidatus Methanomethylophilus alvus	Candidatus Methanomethylophilus	Candidatus Methanomethylophilaceae	Methanomassiliicoccales	Thermoplasmata	Euryarchaeota	Diaforarchaea group	Archaea			
1577791	Candidatus Methanoplasma termitum	Candidatus Methanoplasma	Methanomassiliicoccaceae	Methanomassiliicoccales	Thermoplasmata	Euryarchaeota	Diaforarchaea group	Archaea			
1406512	Candidatus Methanomassiliicoccus intestinalis	Methanomassiliicoccus	Methanomassiliicoccaceae	Methanomassiliicoccales	Thermoplasmata	Euryarchaeota	Diaforarchaea group	Archaea			
1080712	Methanomassiliicoccus luminyensis	Methanomassiliicoccus	Methanomassiliicoccaceae	Methanomassiliicoccales	Thermoplasmata	Euryarchaeota	Diaforarchaea group	Archaea			
1673428	Cuniculiplasma divulgatum	Cuniculiplasma	Cuniculiplasmataceae	Thermoplasmatales	Thermoplasmata	Euryarchaeota	Diaforarchaea group	Archaea			
507754	Acidiplasma aeolicum	Acidiplasma	Ferroplasmaceae	Thermoplasmatales	Thermoplasmata	Euryarchaeota	Diaforarchaea group	Archaea			
312540	Acidiplasma cupricumulans	Acidiplasma	Ferroplasmaceae	Thermoplasmatales	Thermoplasmata	Euryarchaeota	Diaforarchaea group	Archaea			
97393	Ferroplasma acidarmanus	Ferroplasma	Ferroplasmaceae	Thermoplasmatales	Thermoplasmata	Euryarchaeota	Diaforarchaea group	Archaea			
74969	Ferroplasma acidiphilum	Ferroplasma	Ferroplasmaceae	Thermoplasmatales	Thermoplasmata	Euryarchaeota	Diaforarchaea group	Archaea			
424696	Ferroplasma thermophilum	Ferroplasma	Ferroplasmaceae	Thermoplasmatales	Thermoplasmata	Euryarchaeota	Diaforarchaea group	Archaea			
46632	Picrophilus oshimae	Picrophilus	Picrophilaceae	Thermoplasmatales	Thermoplasmata	Euryarchaeota	Diaforarchaea group	Archaea			
82076	Picrophilus torridus	Picrophilus	Picrophilaceae	Thermoplasmatales	Thermoplasmata	Euryarchaeota	Diaforarchaea group	Archaea			
2303	Thermoplasma acidophilum	Thermoplasma	Thermoplasmataceae	Thermoplasmatales	Thermoplasmata	Euryarchaeota	Diaforarchaea group	Archaea			
